Classification	RDP	UTAX	SINTAX	Consensus
Curvularia intermedia	9	0	0	9
Curvularia lunata	7	0	0	7
Curvularia protuberata	7	0	0	7
Curvularia pseudorobusta	2	0	0	2
Curvularia sorghina	3	0	0	3
Curvularia spicifera	7	0	0	7
Cutaneotrichosporon dermatis	6	0	0	6
Cutaneotrichosporon moniliiforme	1	0	0	1
Cyberlindnera jadinii	5	0	0	5
Cyclaneusma minus	4	0	0	4
Cylindrobasidium evolvens	3	0	0	3
Cylindrobasidium torrendii	3	0	0	3
Cyphellophora fusarioides	2	0	0	2
Cystobasidium lysinophilum	2	0	0	2
Cystobasidium minuta	2	0	0	2
Cystobasidium pinicola	2	0	0	2
Cystobasidium slooffiae	3	0	0	3
Cystodermella cinnabarina	1	0	0	1
Cystodermella granulosa	1	0	0	1
Cystofilobasidium capitatum	2	0	0	2
Cystofilobasidium macerans	6	0	0	6
Cytospora populina	2	0	0	2
Cytospora pruinopsis	3	0	0	3
Dacryobolus sudans	4	0	0	4
Dactylella leptospora	7	0	0	7
Daldinia hausknechtii	0	0	4	4
Daldinia sp	2	0	0	2
Datronia mollis	1	0	0	1
Datronia scutellata	2	0	0	2
Debaryomyces hansenii	1	0	0	1
Deconica xeroderma	1	0	0	1
Delicatula integrella	1	0	0	1
Dendrophoma cytisporoides	6	0	0	0
Dendrothele nivosa	7	0	0	0
Deniquelata barringtoniae	1	0	0	1
Dentocorticium portoricense	1	0	0	1
Desmazierella acicola	1	0	0	1
Desmodesmus sp	1	0	0	1
Devriesia americana	1	0	0	1
Devriesia pseudoamericana	6	0	0	6
Diatrype stigma	12	0	0	12
Diatrypella pulvinata	18	0	0	18
Dichostereum effuscatum	3	0	0	3
Dichostereum pallescens	15	0	0	15
Dichostereum sp	7	0	0	7
Dichotomophthora lutea	1	0	0	1
Didymella glomerata	7	0	0	0
Didymocyrtis cladoniicola	7	0	0	7
Digitaria violascens	1	0	0	1
Dioszegia buhagiarii	4	0	0	4
Dioszegia changbaiensis	28	0	0	28
Dioszegia hungarica	15	0	0	15
Dioszegia rishiriensis	7	0	0	7
Dioszegia sp	11	0	0	11
Dioszegia zsoltii var. yunnanensis	6	0	0	6
Dioszegia zsoltii var. zsoltii	6	0	0	6
Diplomitoporus overholtsii	1	0	0	1
Diplosphaera chodatii	2	0	0	2
Dissoconium eucalypti	23	0	0	23
Dissoconium sp	5	0	0	5
Donadinia seaveri	11	0	0	11
Dothidea sambuci	1	0	0	1
Dothiora sp	4	0	0	4
Ductifera pululahuana	3	0	0	3
Duportella lassa	3	0	0	3
Edenia gomezpompae	3	0	0	3
Efibula americana	1	0	0	1
Efibula clarkii	2	0	0	2
Efibula gracilis	4	0	0	4
Eichleriella bactriana	4	0	0	4
Elmerina caryae	4	0	0	4
Endoconidioma populi	1	0	0	1
Endosporium aviarium	2	0	0	2
Entoloma abortivum	1	0	0	1
Entoloma aprile	1	0	0	1
Entoloma cremeoalbum	1	0	0	1
Entoloma halophilum	1	0	0	1
Entoloma sp	2	0	0	2
Epicoccum dendrobii	1	0	0	1
Epulorhiza sp	2	0	0	2
Erythrobasidium hasegawianum	12	0	0	12
Erythrobasidium yunnanense	1	0	0	1
Euoidium mutisiae	5	0	0	0
Eutypa laevata	8	0	0	8
Eutypa leptoplaca	2	0	0	2
Eutypa microasca	4	0	0	4
Eutypella cerviculata	1	0	0	1
Eutypella quaternata	2	0	0	2
Eutypella sp	43	0	0	43
Exidia glandulosa	7	0	0	7
Exidia sp	6	0	0	6
Exobasidium maculosum	1	0	0	1
Exobasidium miyabei	5	0	0	5
Exobasidium rostrupii	2	0	0	2
Exobasidium sp	1	0	0	1
Exobasidium woronichinii	1	0	0	1
Exophiala bonariae	1	0	0	1
Exophiala equina	2	0	0	2
Exophiala mesophila	1	0	0	1
Exophiala salmonis	1	0	0	1
Exserohilum rostratum	3	0	0	3
Fenestella fenestrata	0	0	1	1
Fibricium sp	1	0	0	1
Fibroporia radiculosa	1	0	0	1
Fibulobasidium inconspicuum	1	0	0	1
Filobasidium oeirense	1	0	0	1
Filobasidium stepposum	11	0	0	11
Filobasidium wieringae	13	0	0	13
Fitzroyomyces cyperacearum	8	0	0	7
Flabellascoma cycadicola	1	0	0	1
Flammulina elastica	1	0	0	1
Flammulina velutipes	1	0	0	1
Flavodon sp	1	0	0	1
Flavopunctelia soredica	2	0	0	2
Fomitiporella sp	4	0	0	4
Fonsecazyma sp	20	0	0	20
Fraxinus anomala	2	0	0	2
Fraxinus longicuspis	2	0	0	2
Funaria hygrometrica	1	0	0	1
Fusariella sp	1	0	0	1
Fusarium concentricum	1	0	0	1
Fuscoboletinus spectabilis	1	0	0	1
Fuscoporia sp	7	0	0	7
Gaeumannomyces arxii	1	0	0	1
Galerina marginata	3	0	0	3
Galerina tibiicystis	1	0	0	1
Galzinia incrustans	4	0	0	4
Ganoderma sp	3	0	0	3
Geastrum triplex	1	0	1	1
Geastrumia polystigmatis	1	0	0	1
Genolevuria amylolytica	20	0	0	20
Genolevuria sp	4	0	0	4
Gerronema nemorale	1	0	0	1
Gibberella baccata	5	0	0	5
Gibellulopsis sp	4	0	0	4
Gloeocystidiellum kenyense	15	0	0	15
Gloeocystidiellum porosum	6	0	0	6
Gloeodontia subasperispora	1	0	0	1
Gloeophyllum sepiarium	1	0	0	1
Gloeophyllum trabeum	3	0	0	3
Gloeoporus taxicola	6	0	0	6
Gloiothele citrina	1	0	0	1
Gloiothele sp	4	0	0	4
Golovinomyces asterum	3	0	0	3
Golubevia pallescens	15	0	0	15
Granulobasidium vellereum	2	0	0	2
Graphostroma platystoma	33	0	0	33
Grifola frondosa	3	0	0	3
Gymnopilus penetrans	1	0	0	1
Gymnopilus spectabilis	1	0	0	1
Gymnopus barbipes	1	0	0	1
Gymnopus luxurians	1	0	0	1
Hannaella coprosmae	19	0	0	19
Hannaella kunmingensis	10	0	0	10
Hannaella luteola	5	0	0	5
Hannaella oryzae	22	0	0	22
Hannaella phetchabunensis	10	0	0	10
Hannaella sinensis	1	0	0	1
Hannaella sp	16	0	0	16
Hannaella zeae	13	0	0	13
Hanseniaspora uvarum	1	0	0	1
Hanseniaspora vineae	1	0	0	1
Hansfordia pulvinata	26	0	0	26
Hapalopilus mutans	1	0	0	1
Hapalopilus nidulans	1	0	0	1
Hastodontia sp	1	0	0	1
Helicogloea pellucida	1	0	0	1
Helicoma sp	2	0	0	2
Helminthosporium asterinum	1	0	0	1
Helvellosebacina sp	1	0	0	1
Heterocephalacria arrabidensis	1	0	0	1
Heterocephalacria sp	1	0	0	1
Heterochaete shearii	5	0	0	5
Heteroconium sp	1	0	0	1
Heteroradulum kmetii	1	0	0	1
Hirsutella subulata	4	0	0	4
Hohenbuehelia atrocoerulea	3	0	0	3
Hohenbuehelia canadensis	3	0	0	3
Hohenbuehelia grisea	6	0	0	6
Hohenbuehelia mastrucata	1	0	0	1
Hohenbuehelia nimueae	1	0	0	1
Hohenbuehelia pinacearum	2	0	0	2
Holtermanniella takashimae	4	0	0	4
Homophron camptopodum	2	0	0	2
Hormonema macrosporum	11	0	0	11
Hormonema sp	1	0	0	1
Houjia pomigena	1	0	0	1
Humicola sp	1	0	0	1
Hyalorbilia erythrostigma	1	0	0	1
Hyalorbilia lunata	3	0	0	3
Hyalorbilia sp	3	0	0	3
Hyaloscypha aureliella	1	0	0	1
Hydnellum concrescens	1	0	0	1
Hygrophorus roseobrunneus	1	0	0	1
Hygrophorus russula	2	0	0	2
Hymenochaetopsis corrugata	5	0	0	5
Hymenoscyphus macroguttatus	1	0	0	1
Hymenoscyphus menthae	1	0	0	1
Hyperphyscia adglutinata	5	0	0	5
Hyphoderma definitum	1	0	0	1
Hyphoderma litschaueri	1	0	0	1
Hyphoderma medioburiense	2	0	0	2
Hyphoderma mutatum	8	0	0	8
Hyphoderma setigerum	22	0	0	22
Hyphoderma sp	5	0	0	5
Hyphoderma variolosum	7	0	0	7
Hyphodermella rosae	1	0	0	1
Hyphodontia alutaria	1	0	0	1
Hyphodontia cineracea	3	0	0	3
Hyphodontia floccosa	3	0	0	3
Hyphodontia microspora	3	0	0	3
Hyphodontia pallidula	6	0	0	6
Hyphodontia setulosa	3	0	0	3
Hyphodontia sp	7	0	0	7
Hyphodontia subalutacea	3	0	0	3
Hypholoma capnoides	1	0	0	1
Hypholoma fasciculare	2	0	0	2
Hypholoma lateritium	2	0	0	2
Hyphopichia burtonii	1	0	0	1
Hyphozyma roseonigra	7	0	0	7
Hypochnicium cremicolor	1	0	0	1
Hypochnicium geogenium	2	0	0	2
Hypoxylon carneum	11	0	0	11
Hypoxylon fraxinophilum	1	0	0	1
Hypoxylon lenormandii	1	0	0	1
Hypoxylon macrocarpum	4	0	0	4
Hypoxylon sp	1	0	0	1
Hypsizygus marmoreus	1	0	0	1
Hypsizygus ulmarius	4	0	0	4
Hysterobrevium constrictum	4	0	0	4
Hysteropatella prostii	5	0	0	5
Idriella sp	11	0	0	11
Inocybe lanatodisca	1	0	0	1
Inocybe rimosoides	1	0	0	1
Insolibasidium deformans	3	0	0	3
Irpex lacteus	2	0	0	2
Itersonilia perplexans	6	0	0	6
Juglans jamaicensis	2	0	0	2
Junghuhnia nitida	2	0	0	2
Kalmanozyma fusiformata	2	0	0	2
Kalmusia longispora	2	0	0	2
Kazachstania kunashirensis	1	0	0	1
Keissleriella quadriseptata	11	0	0	11
Keissleriella taminensis	24	0	0	24
Keissleriella yonaguniensis	1	0	0	1
Knufia perforans	1	0	0	1
Kondoa changbaiensis	2	0	0	2
Kondoa miscanthi	2	0	0	2
Kondoa phyllada	7	0	0	7
Kondoa sorbi	2	0	0	2
Kondoa sp	13	0	0	13
Kondoa subrosea	1	0	0	1
Kondoa yuccicola	3	0	0	3
Kriegeria eriophori	3	0	0	3
Kurtzmanomyces insolitus	4	0	0	4
Kurtzmanomyces sp	1	0	0	1
Kurtzmanomyces tardus	1	0	0	1
Kwoniella betulae	2	0	0	2
Kwoniella heveanensis	2	0	0	2
Kwoniella pini	5	0	0	5
Kwoniella shandongensis	1	0	0	1
Kwoniella sp	1	0	0	1
Lachancea quebecensis	5	0	0	5
Lachnella alboviolascens	1	0	0	1
Lachnella villosa	1	0	0	1
Lactarius mutabilis	1	0	0	1
Lactarius pubescens	1	0	0	1
Laetiporus sulphureus	3	0	0	3
Laetisaria arvalis	2	0	0	2
Lapidomyces sp	2	0	0	2
Laportea canadensis	1	0	0	1
Lecania croatica	7	0	0	7
Lecania naegelii	1	0	0	1
Lectera longa	6	0	0	6
Lentinellus castoreus	2	0	0	2
Lentinellus subaustralis	1	0	0	1
Lentinellus ursinus	3	0	0	3
Lentinus tigrinus	3	0	0	3
Lenzites betulina	5	0	0	5
Lepista sordida	1	0	0	1
Leptoporus mollis	2	0	0	2
Leptosillia muelleri	4	0	0	4
Leptosphaeria avenaria	4	0	0	4
Leptospora rubella	16	0	0	16
Leptospora sp	22	0	0	22
Leptosporomyces sp	1	0	0	1
Leucoagaricus leucothites	1	0	0	1
Leucogyrophana olivascens	3	0	0	3
Leucopaxillus giganteus	2	0	0	2
Leucosporidium creatinivorum	1	0	0	1
Leucosporidium fragarium	1	0	0	1
Leucosporidium golubevii	2	0	0	2
Leucosporidium intermedium	1	0	0	1
Limonomyces sp	8	0	0	8
Lopadostoma americanum	1	0	0	1
Lopharia cinerascens	2	0	0	2
Lopharia sp	3	0	0	3
Lophiostoma cynaroidis	7	0	0	7
Lophiotrema eburnoides	7	0	0	7
Lophiotrema sp	4	0	0	4
Lophium arboricola	1	0	0	1
Lophodermium sp	3	0	0	3
Lotus corniculatus	2	0	0	2
Loweomyces fractipes	1	0	0	1
Lycoperdon nigrescens	1	0	0	1
Lycoperdon pyriforme	3	0	0	3
Lyomyces sp	11	0	0	11
Macalpinomyces spermophorus	9	0	0	9
Macrophomina phaseolina	1	0	0	1
Malassezia arunalokei	1	0	0	1
Malassezia dermatis	1	0	0	1
Malassezia globosa	7	0	0	7
Malassezia restricta	4	0	0	4
Marasmius capillaris	2	0	0	2
Marasmius limosus	1	0	0	1
Marasmius rotula	3	0	0	3
Marchandiobasidium sp	1	0	0	1
Marchandiomyces lignicola	1	0	0	1
Massaria anomia	6	0	0	6
Massaria campestris	4	0	0	4
Massaria mediterranea	1	0	0	1
Massariosphaeria roumeguerei	4	0	0	4
Megacollybia rodmanii	1	0	0	1
Melanelixia subaurifera	4	0	0	4
Melanoleuca griseobrunnea	1	0	0	1
Melanoleuca sp	1	0	0	1
Melanoporia nigra	2	0	0	2
Merismodes fasciculata	12	0	0	12
Meristemomyces frigidus	2	0	0	2
Merulius incarnatus	1	0	0	1
Merulius tremellosus	23	0	0	23
Metarhizium anisopliae	1	0	0	1
Metarhizium marquandii	2	0	0	2
Metarhizium rileyi	1	0	0	1
Metschnikowia reukaufii	19	0	0	19
Metuloidea sp	1	0	0	1
Microbotryum anomalum	1	0	0	1
Microbotryum tenuisporum	1	0	0	1
Microcyclospora sp	3	0	0	3
Microdochium fisheri	5	0	0	5
Microdochium neoqueenslandicum	1	0	0	1
Microdochium seminicola	11	0	0	11
Microdochium sp	1	0	0	1
Microstroma bacarum	4	0	0	4
Moesziomyces aphidis	1	0	0	1
Moesziomyces rugulosus	2	0	0	2
Mollisia cinerea	6	0	0	6
Mollisia sp	6	0	0	6
Montagnula scabiosae	4	0	0	4
Morchella punctipes	1	0	0	1
Moristroma quercinum	5	0	0	5
Mortierella elongata	2	0	0	2
Mortierella exigua	2	0	0	2
Morus rubra	1	0	0	1
Mrakiella aquatica	1	0	0	0
Mucor circinelloides	22	0	0	22
Mucor hiemalis	2	0	0	2
Mucor irregularis	1	0	0	1
Mucor nidicola	11	0	0	11
Mucronella calva	3	0	0	3
Muriphaeosphaeria viburni	6	0	0	6
Myceliophthora thermophila	1	0	0	1
Mycena adscendens	2	0	0	2
Mycena epipterygia	1	0	0	1
Mycena haematopus	9	0	0	9
Mycena inclinata	4	0	0	4
Mycena laevigata	3	0	0	3
Mycena meliigena	4	0	0	4
Mycena metata	3	0	0	3
Mycena pearsoniana	1	0	0	1
Mycena polygramma	3	0	0	3
Mycena sp	3	0	0	3
Mycena speirea	1	0	0	1
Mycoacia aurea	6	0	0	6
Mycoacia fuscoatra	4	0	0	4
Mycoacia nothofagi	2	0	0	2
Mycoacia uda	2	0	0	2
Mycocalicium victoriae	2	0	0	2
Mycosphaerella latebrosa	5	0	0	5
Myrmecia sp	1	0	0	1
Myxarium hyalinum	6	0	0	6
Myxozyma melibiosi	1	0	0	1
Naganishia albida	6	0	0	6
Naganishia vaughanmartiniae	2	0	0	2
Naohidea sebacea	3	0	0	3
Nematoctonus subreniformis	1	0	0	1
Neoascochyta argentina	43	0	0	43
Neoascochyta desmazieri	14	0	0	14
Neoascochyta europaea	7	0	0	7
Neoascochyta exitialis	4	0	0	4
Neoascochyta sp	7	0	0	7
Neoascochyta tardicrescens	1	0	0	1
Neocamarosporium sp	1	0	0	1
Neocatenulostroma sp	12	0	0	12
Neocladophialophora quercina	1	0	0	1
Neocucurbitaria acerina	8	0	0	8
Neocucurbitaria sp	1	0	0	1
Neodendryphiella mali	5	0	0	5
Neodevriesia poagena	23	0	0	23
Neofavolus alveolaris	3	0	0	3
Neofavolus sp	4	0	0	4
Neofitzroyomyces nerii	3	0	0	3
Neophaeomoniella niveniae	1	0	0	1
Neosetophoma samararum	5	0	0	5
Nigrograna sp	8	0	0	8
Nigrospora musae	4	0	0	4
Nigrospora sp	1	0	0	1
Oberwinklerozyma silvestris	1	0	0	1
Occultibambusa pustula	1	0	0	1
Occultifur mephitis	1	0	0	1
Occultifur sp	1	0	0	1
Ochroconis sexualis	1	0	0	1
Odonticium septocystidia	1	0	0	1
Omphalotus illudens	2	0	0	2
Oomyces carneoalbus	5	0	0	5
Ophiobolus disseminans	1	0	0	1
Ophioceras leptosporum	6	0	0	6
Ophiosphaerella sp	6	0	0	6
Orbilia aprilis	2	0	0	2
Orbilia aurantiorubra	3	0	0	3
Orbilia carpoboloides	2	0	0	2
Orbilia crenatomarginata	1	0	0	1
Orbilia epipora	1	0	0	1
Orbilia flavidorosella	1	0	0	1
Orbilia leucostigma	1	0	0	1
Orbilia rectispora	5	0	0	5
Orbilia sarraziniana	6	0	0	6
Orbilia sp	13	0	0	13
Orbilia stipitata	1	0	0	1
Ossicaulis lignatilis	2	0	0	2
Oxyporus corticola	2	0	0	2
Panaeolus fimicola	2	0	0	2
Panaeolus papilionaceus	1	0	0	1
Panellus serotinus	1	0	0	1
Panellus stipticus	3	0	0	3
Panellus violaceofulvus	1	0	0	1
Panicum repens	2	0	0	2
Panus conchatus	1	0	0	1
Papiliotrema aurea	23	0	0	23
Papiliotrema flavescens	12	0	0	12
Papiliotrema frias	6	0	0	6
Papiliotrema fusca	13	0	0	13
Papiliotrema nemorosus	3	0	0	3
Papiliotrema perniciosus	3	0	0	3
Papiliotrema pseudoalba	4	0	0	4
Papiliotrema rajasthanensis	5	0	0	5
Papiliotrema sp	2	0	0	2
Papiliotrema terrestris	1	0	0	1
Papiliotrema wisconsinensis	4	0	0	4
Parafenestella salicis	14	0	0	14
Paraphaeosphaeria angularis	4	0	0	4
Paraphaeosphaeria michotii	8	0	0	8
Paraphaeosphaeria sp	4	0	0	4
Parapterulicium sp	1	0	0	0
Parasola plicatilis	2	0	0	2
Parathyridaria philadelphi	6	0	0	6
Parathyridaria rosae	1	0	0	1
Parmelia sulcata	7	0	0	7
Passalora bacilligera	2	0	0	2
Patellaria quercus	3	0	0	3
Paulisebacina allantoidea	1	0	0	1
Paxillus obscurisporus	1	0	0	1
Peltaster fructicola	6	0	0	6
Peltaster sp	9	0	0	9
Penicillium adametzioides	0	0	2	2
Penicillium brevicompactum	5	0	0	5
Penicillium herquei	0	0	1	1
Penicillium oxalicum	4	0	0	4
Penicillium sp	1	0	0	1
Peniophora albobadia	13	0	0	13
Peniophora cinerea	13	0	0	13
Peniophora laxitexta	3	0	0	3
Peniophora pini	7	0	0	7
Peniophora pithya	2	0	0	2
Peniophora pseudoversicolor	3	0	0	3
Peniophora versiformis	24	0	0	24
Peniophorella guttulifera	5	0	0	5
Peniophorella pallida	3	0	0	3
Peniophorella praetermissa	12	0	0	12
Peniophorella pubera	2	0	0	2
Perenniporia bostonensis	2	0	0	2
Periconia echinochloae	8	0	0	8
Periconia epilithographicola	1	0	0	1
Periconia macrospinosa	4	0	0	4
Periconia pseudobyssoides	1	0	0	1
Periconia pseudodigitata	6	0	0	6
Periconia sp	8	0	0	8
Perusta inaequalis	6	0	0	6
Pestalotiopsis jesteri	2	0	0	2
Pestalotiopsis sp	3	0	0	3
Petrophila incerta	7	0	0	3
Phaeobotryon sp	3	0	0	3
Phaeococcomyces mexicanus	6	0	0	6
Phaeococcomyces sp	3	0	0	3
Phaeomarasmius proximans	2	0	0	2
Phaeomoniella pinifoliorum	6	0	0	6
Phaeomoniella sp	2	0	0	2
Phaeophyscia rubropulchra	5	0	0	5
Phaeoseptum sp	4	0	0	4
Phaeosphaeria fuckelii	2	0	0	2
Phaeosphaeria oryzae	4	0	0	4
Phaeosphaeria rousseliana	1	0	0	1
Phaeosphaeria sp	50	0	0	50
Phaeosphaeria typharum	5	0	0	5
Phaeotheca fissurella	1	0	0	1
Phaeotheca triangularis	1	0	0	1
Phaeothecoidiella illinoisensis	4	0	0	4
Phaffia sp	1	0	0	1
Phanerochaete chrysosporium	1	0	0	1
Phanerochaete citri	2	0	0	2
Phanerochaete cumulodentata	1	0	0	1
Phanerochaete jose-ferreirae	6	0	0	6
Phanerochaete laevis	3	0	0	3
Phanerochaete livescens	2	0	0	2
Phanerochaete sordida	3	0	0	3
Phellinopsis conchata	4	0	0	4
Phellinus gilvus	7	0	0	7
Phellinus robiniae	1	0	0	1
Phellinus viticola	2	0	0	2
Phialocephala aylmerensis	1	0	0	1
Phialocephala oblonga	3	0	0	3
Phialophora livistonae	3	0	0	3
Phlebia acanthocystis	7	0	0	7
Phlebia acerina	3	0	0	3
Phlebia centrifuga	1	0	0	1
Phlebia coccineofulva	3	0	0	3
Phlebia queletii	2	0	0	2
Phlebia radiata	4	0	0	4
Phlebia sp	2	0	0	2
Phlebia subochracea	3	0	0	3
Phlebiopsis gigantea	1	0	0	1
Phleum pratense	20	0	0	20
Pholiota adiposa	8	0	0	8
Pholiota flammans	2	0	0	2
Pholiota highlandensis	3	0	0	3
Pholiota pusilla	4	0	0	4
Pholiota squarrosoides	1	0	0	1
Phoma sp	2	0	0	2
Phomatospora biseriata	4	0	0	4
Phyllosticta paviae	1	0	0	1
Phyllotopsis nidulans	5	0	0	5
Phyllozyma linderae	24	0	0	24
Physalacria maipoensis	1	0	0	1
Physcia millegrana	46	0	0	46
Physcia stellaris	30	0	0	30
Physciella chloantha	5	0	0	5
Physisporinus vitreus	3	0	0	3
Physoderma maydis	1	0	0	1
Phytolacca americana	1	0	0	1
Piniphoma wesendahlina	7	0	0	7
Piptoporus betulinus	7	0	0	7
Piskurozyma sp	1	0	0	1
Pisum sativum	3	0	0	3
Plectania melastoma	1	0	0	1
Plectosphaerella oratosquillae	6	0	0	6
Plenodomus collinsoniae	3	0	0	3
Pleomonodictys descalsii	4	0	0	4
Pleospora sp	6	0	0	6
Pleurophoma sp	5	0	0	5
Pleurotus citrinopileatus	2	0	0	2
Pleurotus ostreatus	2	0	0	2
Pleurotus pulmonarius	3	0	0	3
Plicaturopsis crispa	1	0	0	1
Pluteus atropungens	3	0	0	3
Pluteus hongoi	6	0	0	6
Pluteus longistriatus	4	0	0	4
Pluteus petasatus	4	0	0	4
Pluteus podospileus	1	0	0	1
Pluteus sp	2	0	0	2
Podospora sp	1	0	0	1
Polyporus varius	5	0	0	5
Porodisculus pendulus	3	0	0	3
Porotheleum fimbriatum	3	0	0	3
Postia caesia	3	0	0	3
Postia cyanescens	1	0	0	1
Postia fragilis	4	0	0	4
Postia stiptica	4	0	0	4
Powellomyces sp	4	0	0	4
Praetumpfia obducens	4	0	0	4
Preussia africana	1	0	0	1
Preussia isomera	1	0	0	1
Preussia persica	3	0	0	3
Protomyces inouyei	8	0	0	7
Psathyrella candolleana	10	0	0	10
Psathyrella complutensis	1	0	0	1
Psathyrella fimiseda	1	0	0	1
Psathyrella laricina	4	0	0	4
Psathyrella luteopallida	1	0	0	1
Psathyrella piluliformis	4	0	0	4
Psathyrella seymourensis	2	0	0	2
Psathyrella sp	1	0	0	1
Psathyrella spintrigeroides	1	0	0	1
Psathyrella sulcatotuberculosa	2	0	0	2
Psathyrella typhae	2	0	0	2
Pseudapiospora corni	1	0	0	1
Pseudocoleophoma calamagrostidis	1	0	0	1
Pseudocoleophoma polygonicola	5	0	0	5
Pseudohalonectria lignicola	2	0	0	2
Pseudomicrostroma glucosiphilum	3	0	0	3
Pseudomicrostroma phylloplanum	23	0	0	23
Pseudoomphalina compressipes	1	0	0	1
Pseudopithomyces rosae	7	0	0	7
Pseudorobillarda phragmitis	24	0	0	23
Pseudosplanchnonema phorcioides	4	0	0	4
Pseudotrichia mutabilis	1	0	0	1
Pseudoveronaea obclavata	2	0	0	2
Pseudozyma hubeiensis	2	0	0	2
Pseudozyma pruni	3	0	0	3
Pterula gracilis	1	0	0	1
Puccinia emaculata	10	0	0	10
Punctularia strigosozonata	2	0	0	2
Pyrenochaeta sp	1	0	0	1
Pyrenochaeta unguis-hominis	4	0	0	4
Pyrenochaetopsis leptospora	19	0	0	19
Pyrenochaetopsis pratorum	1	0	0	1
Pyrenopeziza revincta	6	0	0	6
Pyrenophora bromi	3	0	0	3
Pyrenophora tritici-repentis	4	0	0	4
Pyxidiophora arvernensis	5	0	0	5
Quambalaria cyanescens	2	0	0	2
Rachicladosporium cboliae	7	0	0	7
Radulidium subulatum	6	0	0	6
Radulodon americanus	1	0	0	1
Ramichloridium indicum	1	0	0	1
Ramularia grevilleana	9	0	0	9
Resinicium bicolor	1	0	0	1
Resinicium friabile	1	0	0	1
Resinicium rimulosum	4	0	0	4
Resupinatus alboniger	5	0	0	5
Resupinatus applicatus	6	0	0	6
Resupinatus poriaeformis	1	0	0	1
Resupinatus rouxii	3	0	0	3
Resupinatus sp	2	0	0	2
Resupinatus striatulus	2	0	0	2
Rhamphoria pyriformis	6	0	0	6
Rhizochaete americana	1	0	0	1
Rhizoctonia alpina	1	0	0	1
Rhizoctonia fusispora	1	0	0	1
Rhizomarasmius setosus	4	0	0	4
Rhizophlyctis rosea	5	0	6	5
Rhizophlyctis sp	1	0	0	0
Rhizopus arrhizus	5	0	0	5
Rhizopus microsporus	1	0	0	1
Rhodonia placenta	2	0	0	2
Rhodosporidiobolus colostri	5	0	0	5
Rhodosporidiobolus odoratus	12	0	0	12
Rhodosporidiobolus ruineniae	1	0	0	1
Rhodotorula diobovata	3	0	0	3
Rhodotorula mucilaginosa	12	0	0	12
Rhodotorula nothofagi	14	0	0	14
Rhodotorula sp	6	0	0	6
Rhodotorula taiwanensis	6	0	0	6
Rhodotus palmatus	1	0	0	1
Rigidoporus piceicola	7	0	0	7
Rigidoporus pouzarii	3	0	0	3
Roussoella solani	1	0	0	1
Ruinenia sp	1	0	0	1
Russula puellaris	1	0	0	1
Saitoella coloradoensis	1	0	0	1
Saitozyma flava	9	0	0	9
Saitozyma paraflava	13	0	0	13
Saitozyma sp	1	0	0	1
Sampaiozyma ingeniosa	3	0	0	3
Sarcinomyces crustaceus	3	0	0	3
Sarcodontia delectans	3	0	0	3
Sarcodontia pachyodon	2	0	0	2
Sarcoporia longitubulata	4	0	0	4
Sarcoporia polyspora	1	0	0	1
Sarocladium zeae	2	0	0	2
Schizophyllum commune	11	0	0	11
Sclerencoelia fraxinicola	1	0	0	1
Scleroderma polyrhizum	1	0	0	1
Scleroramularia pomigena	3	0	0	3
Scopuloides hydnoides	4	0	0	4
Scopuloides rimosa	2	0	0	2
Seimatosporium hypericinum	3	0	0	3
Septoriella hirta	14	0	0	14
Septoriella poae	7	0	0	7
Serendipita sp	3	0	0	3
Serpula himantioides	2	0	0	2
Setophaeosphaeria badalingensis	9	0	0	9
Setophoma sp	6	0	0	6
Setoseptoria arundelensis	1	0	0	1
Sidera sp	2	0	0	2
Sigarispora arundinis	3	0	0	3
Simocybe sumptuosa	3	0	0	3
Simplicillium lamellicola	5	0	0	5
Sirobasidium brefeldianum	1	0	0	1
Sistotrema coronilla	2	0	0	2
Sistotrema oblongisporum	8	0	0	8
Sistotrema raduloides	2	0	0	2
Sistotrema sernanderi	4	0	0	4
Sistotrema sp	19	0	0	19
Sistotremastrum guttuliferum	2	0	0	2
Sistotremastrum niveocremeum	3	0	0	3
Sistotremastrum sp	3	0	0	3
Sistotremastrum suecicum	3	0	0	3
Skeletocutis kuehneri	13	0	0	13
Skeletocutis odora	1	0	0	1
Skeletocutis papyracea	1	0	0	1
Skeletocutis sp	1	0	0	1
Skvortzovia furfuracea	2	0	0	2
Skvortzovia pinicola	3	0	0	3
Spadicoides bina	1	0	0	1
Spegazzinia tessarthra	5	0	0	5
Sphacelotheca hydropiperis	2	0	0	2
Sphaerellopsis filum	5	0	0	5
Sphagnurus paluster	1	0	0	1
Spongiochloris spongiosa	1	0	0	1
Sporidiobolus salmonicolor	1	0	0	1
Sporisorium graminicola	5	0	0	5
Sporobolomyces japonicus	1	0	0	1
Sporobolomyces johnsonii	1	0	0	1
Sporobolomyces koalae	2	0	0	2
Sporobolomyces sp	5	0	0	5
Sporormiella similis	2	0	0	2
Stagonospora foliicola	8	0	0	8
Stagonospora neglecta	1	0	0	1
Stagonosporopsis trachelii	1	0	0	1
Steccherinum bourdotii	4	0	0	4
Steccherinum fimbriatum	12	0	0	12
Steccherinum ochraceum	9	0	0	9
Steccherinum sp	10	0	0	10
Steccherinum tenue	2	0	0	2
Stemphylium beticola	1	0	0	1
